SymbolicKey,ParameterPath,Found,MatchedVariant,URLs,PageFamilies,SpecialCommandHint,SpecialCommandTerms,SpecialCommandURL,Reason
OUTPUT_CHANNEL_EQ,/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/IIR,no,,,specialCommands,yes,channel;dante;dhcp;dns;gateway;ip,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,parameterized path; docs may show exemplar indices
OUTPUT_CHANNEL_FREQUENCY,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputImpedanceMeasure/Frequency/Value,no,,,specialCommands,yes,channel;dante;dhcp;dns;frequency;gateway,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,leaf value; docs may omit /Value
OUTPUT_CHANNEL_MAX_TH,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputImpedanceMeasure/MaxLevel/Value,no,,,specialCommands,yes,channel;dante;dhcp;dns;gateway;ip,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,leaf value; docs may omit /Value
OUTPUT_CHANNEL_MIN_TH,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputImpedanceMeasure/MinLevel/Value,no,,,specialCommands,yes,channel;dante;dhcp;dns;gateway;ip,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,leaf value; docs may omit /Value
OUTPUT_SPEAKER_GENERATOR_ENABLE,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/ToneGenerator/Enable/Value,yes,Enable/Value,https://download.powersoft.it/temp/Unica/3dparty/amplifierSettings.html,amplifierSettings,no,,,loose variant matched
OUTPUT_SPEAKER_GENERATOR_FREQUENCY,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/ToneGenerator/Frequency/Value,no,,,specialCommands,yes,channel;dante;dhcp;dns;frequency;gateway,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,leaf value; docs may omit /Value
OUTPUT_SPEAKER_GENERATOR_VOLTAGE,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/ToneGenerator/Level/Value,no,,,specialCommands,yes,channel;dante;dhcp;dns;gateway;ip,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,leaf value; docs may omit /Value
OUTPUT_SPEAKER_IMPEDANCE_DETECTION_ENABLE,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputImpedanceMeasure/Enable/Value,yes,Enable/Value,https://download.powersoft.it/temp/Unica/3dparty/amplifierSettings.html,amplifierSettings,no,,,loose variant matched
OUTPUT_SPEAKER_IMPEDANCE_DETECTION_FREQUENCY,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputImpedanceMeasure/Frequency/Value,no,,,specialCommands,yes,channel;dante;dhcp;dns;frequency;gateway,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,leaf value; docs may omit /Value
OUTPUT_SPEAKER_IMPEDANCE_DETECTION_MAX_V,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputImpedanceMeasure/MaxLevel/Value,no,,,specialCommands,yes,channel;dante;dhcp;dns;gateway;impedance,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,leaf value; docs may omit /Value
OUTPUT_SPEAKER_IMPEDANCE_DETECTION_MIN_V,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputImpedanceMeasure/MinLevel/Value,no,,,specialCommands,yes,channel;dante;dhcp;dns;gateway;impedance,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,leaf value; docs may omit /Value
OUTPUT_SPEAKER_TONE_DETECTION_ENABLE,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputToneDetection/Enable/Value,yes,Enable/Value,https://download.powersoft.it/temp/Unica/3dparty/amplifierSettings.html,amplifierSettings,no,,,loose variant matched
OUTPUT_SPEAKER_TONE_DETECTION_FREQUENCY,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputToneDetection/Frequency/Value,no,,,specialCommands,yes,channel;dante;dhcp;dns;frequency;gateway,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,leaf value; docs may omit /Value
OUTPUT_SPEAKER_TONE_DETECTION_MAX_TH,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputToneDetection/MaxLevel/Value,no,,,specialCommands,yes,channel;dante;dhcp;dns;gateway;ip,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,leaf value; docs may omit /Value
OUTPUT_SPEAKER_TONE_DETECTION_MIN_TH,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputToneDetection/MinLevel/Value,no,,,specialCommands,yes,channel;dante;dhcp;dns;gateway;ip,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,leaf value; docs may omit /Value
