Key,Match,MatchType,SymbolicKey,ParameterPath,Type,Default,Min,Max,AllowedValues,Unit,Notes
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentLimiterRMS/Threshold/Value,no,unmatched,,,FLOAT,80,0.1,80,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentLimiterRMS/AttackTime/Value,no,unmatched,,,FLOAT,1,0.01,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentLimiterRMS/ReleaseTime/Value,no,unmatched,,,FLOAT,4,0.01,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentLimiterRMS/HoldTime/Value,no,unmatched,,,FLOAT,0,0,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentClamp/Gain/Value,no,unmatched,,,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentClamp/Enable,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentClamp/Threshold/Value,no,unmatched,,,FLOAT,10,0.1,150,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentClamp/AttackTime/Value,no,unmatched,,,FLOAT,0,0,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentClamp/ReleaseTime/Value,no,unmatched,,,FLOAT,0,0,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/CurrentClamp/HoldTime/Value,no,unmatched,,,FLOAT,0,0,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/ClipLimiter/Gain/Value,no,unmatched,,,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/ClipLimiter/Enable,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/ClipLimiter/Threshold/Value,no,unmatched,,,FLOAT,80,10,400,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/ClipLimiter/AttackTime/Value,no,unmatched,,,FLOAT,0,0,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/ClipLimiter/ReleaseTime/Value,no,unmatched,,,FLOAT,0,0,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/ClipLimiter/HoldTime/Value,no,unmatched,,,FLOAT,0,0,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/Gain/Value,no,unmatched,,,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/Enable,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/Threshold/Value,no,unmatched,,,FLOAT,150,10,300,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/AttackTime/Value,no,unmatched,,,FLOAT,0.2,0.01,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/ReleaseTime/Value,no,unmatched,,,FLOAT,0.8,0.01,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/HoldTime/Value,no,unmatched,,,FLOAT,0,0,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/IIR/IIR-{0:1}/Enable,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/IIR/IIR-{0:1}/Type/Value,no,unmatched,,,ENUM,0,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/IIR/IIR-{0:1}/Fc/Value,no,unmatched,,,FLOAT,1000,20,20000,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/IIR/IIR-{0:1}/Gain/Value,no,unmatched,,,FLOAT,0,-15,15,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/IIR/IIR-{0:1}/Q/Value,no,unmatched,,,FLOAT,1.4,0.1,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/IIR/IIR-{0:1}/Slope/Value,no,unmatched,,,FLOAT,0.5,0.25,1.25,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/SoftKnee/Threshold/Value,no,unmatched,,,FLOAT,0.7079457843841379,0.5011872336272722,1,,Linear,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/VoltageLimiterRMS/SoftKnee/Enable,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/Gain/Value,no,unmatched,,,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/Enable,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/Threshold/Value,yes,norm,OUTPUT_CHANNEL_PEAK_LIMITER,/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PeakLimiter/Threshold/Value,FLOAT,200,10,380,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/AttackTime/Value,no,unmatched,,,FLOAT,0.002,0.0003,2,,Seconds,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/ReleaseTime/Value,no,unmatched,,,FLOAT,0.032,0.003,8,,Seconds,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/HoldTime/Value,no,unmatched,,,FLOAT,0,0,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/IIR/IIR-{0:1}/Enable,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/IIR/IIR-{0:1}/Type/Value,no,unmatched,,,ENUM,0,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/IIR/IIR-{0:1}/Fc/Value,no,unmatched,,,FLOAT,1000,20,20000,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/IIR/IIR-{0:1}/Gain/Value,no,unmatched,,,FLOAT,0,-15,15,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/IIR/IIR-{0:1}/Q/Value,no,unmatched,,,FLOAT,1.4,0.1,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/IIR/IIR-{0:1}/Slope/Value,no,unmatched,,,FLOAT,0.5,0.25,1.25,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/SoftKnee/Threshold/Value,no,unmatched,,,FLOAT,0.7079457843841379,0.5011872336272722,1,,Linear,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PeakLimiter/SoftKnee/Enable,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/Enable,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/FilterType/Value,no,unmatched,,,ENUM,0,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/Fc/Value,no,unmatched,,,FLOAT,1000,20,20000,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/MinGain/Value,no,unmatched,,,FLOAT,-1,-25,-1,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/Q/Value,no,unmatched,,,FLOAT,1.4,0.1,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/Slope/Value,no,unmatched,,,FLOAT,12,6,24,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/Threshold/Value,no,unmatched,,,FLOAT,20,0.1,380,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/AttackTime/Value,no,unmatched,,,FLOAT,0.01,0.0003,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/ReleaseTime/Value,no,unmatched,,,FLOAT,0.01,0.003,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/LimiterType/Value,no,unmatched,,,ENUM,0,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/Position/Value,no,unmatched,,,ENUM,2,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/Subposition/Value,no,unmatched,,,ENUM,0,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/Ratio/Value,no,unmatched,,,FLOAT,0.25,0,1,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/Feedloop/Value,yes,norm,OUTPUT_CHANNEL_FEEDLOOP,/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/Feedloop,FLOAT,0,-2,2,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/Feedloop/Enable,yes,norm,OUTPUT_CHANNEL_FEEDLOOP_ENABLED,/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/Feedloop/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PilotToneGenerator/Enable/Value,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PilotToneGenerator/Freq/Value,no,unmatched,,,FLOAT,20000,20,22000,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PilotToneGenerator/Amplitude/Value,no,unmatched,,,FLOAT,2,0.1,40,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PilotTone/Enable/Value,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PilotTone/Low/Value,no,unmatched,,,FLOAT,1.2,0.1,40,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PilotTone/High/Value,no,unmatched,,,FLOAT,1.8,0.1,40,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PilotTone/Freq/Value,no,unmatched,,,FLOAT,20000,20,22000,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/LoadMonitor/Enable/Value,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/LoadMonitor/Low/Value,no,unmatched,,,FLOAT,2,1,500,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/LoadMonitor/High/Value,no,unmatched,,,FLOAT,16,1,500,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/LoadMonitor/Freq/Value,no,unmatched,,,FLOAT,20000,20,22000,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/NominalImpedance/Enable/Value,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/NominalImpedance/Low/Value,no,unmatched,,,FLOAT,2,1,500,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/NominalImpedance/High/Value,no,unmatched,,,FLOAT,16,1,500,,,
/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0:7}/AuxAttenuation/Value,no,unmatched,,,FLOAT,1,0.001,1,,Linear,
/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0:7}/AuxDelay/Value,no,unmatched,,,FLOAT,0,0,0.1,,,
/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0:7}/AuxDelay/Enable,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/ReadOnly/SnapshotSlotId/Current,yes,exact,LIVE_CURRENT_SNAPSHOT_ID,/Device/Audio/Presets/Live/ReadOnly/SnapshotSlotId/Current,INT,-1,,,,,
/Device/Audio/Presets/Live/ReadOnly/SnapshotSlotId/Modified,yes,exact,LIVE_SNAPSHOT_MODIFIED,/Device/Audio/Presets/Live/ReadOnly/SnapshotSlotId/Modified,INT,0,,,,,
