Key,Type,Default,Min,Max,AllowedValues,Unit,Notes
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/Mute/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/InputProcess/Generals/MaxCurrentDraw/Value,FLOAT,20,10,20,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InDelay/Value,FLOAT,0,0,2,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InDelay/Enable/Value,BOOL,True,,,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InputEQ/Enable/Value,BOOL,True,,,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InputEQ/Filter/Filter-{0:95}/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InputEQ/Filter/Filter-{0:95}/Type/Value,ENUM,2147483648,,,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InputEQ/Filter/Filter-{0:95}/Flags/Value,INT,0,,,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InputEQ/Filter/Filter-{0:95}/Freq1/Value,FLOAT,1000,20,20000,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InputEQ/Filter/Filter-{0:95}/Gain1/Value,FLOAT,0,-15,15,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InputEQ/Filter/Filter-{0:95}/Slope1/Value,FLOAT,1,0.1,10,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InputEQ/Filter/Filter-{0:95}/Freq2/Value,FLOAT,1000,20,20000,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InputEQ/Filter/Filter-{0:95}/Gain2/Value,FLOAT,0,-15,15,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InputEQ/Filter/Filter-{0:95}/Slope2/Value,FLOAT,1,0.1,10,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/Guid,STRING,,,,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/Name,STRING,,,,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/Type,INT,0,,,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InputEQ/Filter/Filter-{0:95}/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0:7}/Groups/Group-{0:7}/InputEQ/Filter/Filter-{0:95}/Type/Value,ENUM,2147483648,,,,,
