Key,Type,Default,Min,Max,AllowedValues,Unit,Notes
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/Threshold/Value,FLOAT,20,0.1,380,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/AttackTime/Value,FLOAT,0.01,0.0003,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/ReleaseTime/Value,FLOAT,0.01,0.003,30,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/LimiterType/Value,ENUM,0,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/Position/Value,ENUM,2,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/Subposition/Value,ENUM,0,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/DynamicEq/DYNAMICEQ-{0:2}/Ratio/Value,FLOAT,0.25,0,1,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/Feedloop/Value,FLOAT,0,-2,2,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/Feedloop/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PilotToneGenerator/Enable/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PilotToneGenerator/Freq/Value,FLOAT,20000,20,22000,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PilotToneGenerator/Amplitude/Value,FLOAT,2,0.1,40,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PilotTone/Enable/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PilotTone/Low/Value,FLOAT,1.2,0.1,40,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PilotTone/High/Value,FLOAT,1.8,0.1,40,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/PilotTone/Freq/Value,FLOAT,20000,20,22000,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/LoadMonitor/Enable/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/LoadMonitor/Low/Value,FLOAT,2,1,500,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/LoadMonitor/High/Value,FLOAT,16,1,500,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/LoadMonitor/Freq/Value,FLOAT,20000,20,22000,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/NominalImpedance/Enable/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/NominalImpedance/Low/Value,FLOAT,2,1,500,,,
/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0:7}/NominalImpedance/High/Value,FLOAT,16,1,500,,,
/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0:7}/AuxAttenuation/Value,FLOAT,1,0.001,1,,Linear,
/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0:7}/AuxDelay/Value,FLOAT,0,0,0.1,,,
/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0:7}/AuxDelay/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/ReadOnly/SnapshotSlotId/Current,INT,-1,,,,,
/Device/Audio/Presets/Live/ReadOnly/SnapshotSlotId/Modified,INT,0,,,,,
