"id","valueType","field","raw"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-3/Groups/Group-3/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-3/Groups/Group-3/Type","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-3/Groups/Group-4/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-3/Groups/Group-4/Gain/Value","20","floatValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-3/Groups/Group-4/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-3/Groups/Group-5/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-3/Groups/Group-5/Gain/Value","20","floatValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-3/Groups/Group-5/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-3/Groups/Group-6/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-3/Groups/Group-6/Gain/Value","20","floatValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-3/Groups/Group-6/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-3/Groups/Group-7/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-3/Groups/Group-7/Gain/Value","20","floatValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-3/Groups/Group-7/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/","10","stringValue",""
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-0/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-0/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-1/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-1/Gain/Value","20","floatValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-1/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-2/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-2/Gain/Value","20","floatValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-2/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-3/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-3/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-4/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-4/Gain/Value","20","floatValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-4/InDelay/Enable","10","stringValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-4/InPolarity/Value","40","boolValue","False"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-4/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-4/Type","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-5/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-5/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-6/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-6/Gain/Value","20","floatValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-6/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-7/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-4/Groups/Group-7/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/","10","stringValue",""
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-0/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-0/Gain/Value","20","floatValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-0/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-1/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-1/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-2/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-2/Gain/Value","20","floatValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-2/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-3/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-3/Gain/Value","20","floatValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-3/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-4/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-4/Gain/Value","20","floatValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-4/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-5/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-5/Gain/Value","20","floatValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-5/InDelay/Enable","10","stringValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-5/InPolarity/Value","40","boolValue","False"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-5/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-5/Type","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-6/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-6/Gain/Value","20","floatValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-6/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-7/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-5/Groups/Group-7/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/","10","stringValue",""
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-0/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-0/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-1/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-1/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-2/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-2/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-3/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-3/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-4/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-4/Gain/Value","20","floatValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-4/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-5/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-5/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-6/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-6/Gain/Value","20","floatValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-6/InDelay/Enable","10","stringValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-6/InPolarity/Value","40","boolValue","False"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-6/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-6/Type","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-7/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-6/Groups/Group-7/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/","10","stringValue",""
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-0/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-0/InDelay/Enable","10","stringValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-0/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-1/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-1/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-2/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-2/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-3/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-3/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-4/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-4/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-5/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-5/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-6/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-6/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-7/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-7/Gain/Value","20","floatValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-7/InDelay/Enable","10","stringValue","1"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-7/InPolarity/Value","40","boolValue","False"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-7/Mute/Value","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-7/Groups/Group-7/Type","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-0/AuxAttenuation/Value","20","floatValue","1"
"/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-0/AuxDelay/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-0/AuxDelay/Value","20","floatValue","0"
"/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-1/AuxAttenuation/Value","20","floatValue","1"
"/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-1/AuxDelay/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-1/AuxDelay/Value","20","floatValue","0"
"/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-2/AuxAttenuation/Value","20","floatValue","1"
"/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-2/AuxDelay/Enable","10","stringValue","0"
"/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-2/AuxDelay/Value","20","floatValue","0"
"/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-3/AuxAttenuation/Value","20","floatValue","1"
