template,suggestedKey
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/CurrentLimiterRMS/AttackTime/Value","OUTPUT_CHANNEL_CURRENT_LIMITER_RMS_ATTACKTIME_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/CurrentLimiterRMS/Enable","OUTPUT_CHANNEL_CURRENT_LIMITER_RMS_ENABLE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/CurrentLimiterRMS/Gain/Value","OUTPUT_CHANNEL_CURRENT_LIMITER_RMS_GAIN_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/CurrentLimiterRMS/HoldTime/Value","OUTPUT_CHANNEL_CURRENT_LIMITER_RMS_HOLDTIME_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/CurrentLimiterRMS/ReleaseTime/Value","OUTPUT_CHANNEL_CURRENT_LIMITER_RMS_RELEASETIME_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/CurrentLimiterRMS/Threshold/Value","OUTPUT_CHANNEL_CURRENT_LIMITER_RMS_THRESHOLD_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-0/AttackTime/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-0_ATTACKTIME_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-0/Enable","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-0_ENABLE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-0/Fc/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-0_FC_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-0/FilterType/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-0_FILTERTYPE_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-0/LimiterType/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-0_LIMITERTYPE_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-0/MinGain/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-0_MINGAIN_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-0/Position/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-0_POSITION_VALUE"
